over,wide_runs,noball_runs,runs,extras,wickets,Econ
4,3,1,55,4,1,13.75
3,0,0,36,0,0,12
3,0,0,41,0,0,13.67
1,0,0,10,0,1,10
1,0,0,11,0,0,11
4,2,0,31,2,1,7.75
4,0,0,22,0,1,5.5
4,1,0,42,1,2,10.5
4,1,0,27,1,2,6.75
4,2,0,35,2,0,8.75
1,0,0,4,0,1,4
1,0,0,7,0,1,7
2,0,1,20,1,0,10
4,0,0,36,0,2,9
3,1,0,26,1,1,8.67
4,3,0,57,3,0,14.25
4,2,0,36,2,1,9
2,0,0,21,0,0,10.5
4,0,0,28,0,3,7
3,0,0,14,0,2,4.67
4,0,0,36,0,1,9
4,0,0,29,0,0,7.25
2,1,0,30,1,0,15
2,0,0,21,0,0,10.5
4,0,0,36,0,1,9
4,2,0,34,2,1,8.5
3,0,0,35,0,0,11.67
4,0,0,25,0,2,6.25
4,1,0,33,1,1,8.25
4,0,0,33,0,0,8.25
4,1,0,40,1,1,10
1,0,0,15,0,0,15
1,0,0,23,0,0,23
3,2,0,42,2,0,14
2,3,0,32,3,0,16
2,0,0,13,0,0,6.5
4,0,0,40,0,0,10
3,6,0,30,6,0,10
4,2,0,27,2,1,6.75
4,0,0,34,0,0,8.5
3,3,0,28,3,1,9.33
4,0,0,33,0,2,8.25
2,0,0,14,0,1,7
3,0,0,26,0,1,8.67
3,0,0,26,0,1,8.67
4,1,0,32,1,0,8
2,2,0,24,2,0,12
4,0,0,29,0,2,7.25
2,2,0,20,2,0,10
4,4,0,32,4,1,8
2,0,0,32,0,0,16
4,0,0,21,0,3,5.25
2,1,0,29,1,0,14.5
4,1,0,29,1,1,7.25
4,1,0,13,1,1,3.25
4,1,0,31,1,2,7.75
4,1,0,29,1,2,7.25
3,3,0,36,3,2,12
1,0,0,3,0,2,3
4,0,0,21,0,1,5.25
4,0,0,33,0,1,8.25
4,0,0,19,0,1,4.75
4,0,0,27,0,1,6.75
4,0,0,21,0,2,5.25
3,0,0,29,0,0,9.67
4,0,0,24,0,0,6
1,0,0,12,0,0,12
4,0,0,19,0,3,4.75
2,2,0,21,2,0,10.5
2,0,0,17,0,0,8.5
2,0,0,16,0,1,8
4,1,0,29,1,0,7.25
2,0,0,24,0,0,12
4,0,0,33,0,0,8.25
4,0,0,27,0,0,6.75
4,0,2,39,2,1,9.75
4,0,0,24,0,3,6
4,3,1,51,4,1,12.75
4,2,0,36,2,2,9
4,1,0,37,1,3,9.25
4,4,0,34,4,1,8.5
4,1,0,35,1,1,8.75
4,0,0,22,0,1,5.5
4,1,0,47,1,0,11.75
4,0,0,12,0,1,3
4,0,0,47,0,0,11.75
3,1,0,28,1,0,9.33
4,1,0,26,1,1,6.5
1,1,0,13,1,0,13
4,0,0,21,0,2,5.25
4,1,0,41,1,0,10.25
2,1,0,19,1,0,9.5
1,0,0,7,0,0,7
