season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2017,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,0,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
2017,Pune,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,0,7,Maharashtra Cricket Association Stadium,A Nand Kishore
2017,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,10,Saurashtra Cricket Association Stadium,Nitin Menon
2017,Indore,Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,Holkar Cricket Stadium,AK Chaudhary
2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,0,M Chinnaswamy Stadium,
2017,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh
2017,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,Wankhede Stadium,Nitin Menon
2017,Indore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,8,Holkar Cricket Stadium,AK Chaudhary
2017,Pune,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Delhi Daredevils,97,0,Maharashtra Cricket Association Stadium,AY Dandekar
2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,Wankhede Stadium,Nitin Menon
2017,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Eden Gardens,A Deshmukh
2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,M Chinnaswamy Stadium,KN Ananthapadmanabhan
2017,Rajkot,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,7,Saurashtra Cricket Association Stadium,A Nand Kishore
2017,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,0,Eden Gardens,AY Dandekar
2017,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,0,Feroz Shah Kotla,YC Barde
2017,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,Wankhede Stadium,A Nand Kishore
2017,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiants,27,0,M Chinnaswamy Stadium,KN Ananthapadmanabhan
2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,4,Feroz Shah Kotla,Nitin Menon
2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,5,0,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,21,0,Saurashtra Cricket Association Stadium,S Ravi
2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,0,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney
2017,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,Holkar Cricket Stadium,M Erasmus
2017,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,4,Eden Gardens,CB Gaffaney
2017,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,14,0,Wankhede Stadium,A Nand Kishore
2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,0,6,Maharashtra Cricket Association Stadium,AY Dandekar
2017,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,26,0,Saurashtra Cricket Association Stadium,AK Chaudhary
2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,0,Eden Gardens,CB Gaffaney
2017,Mumbai,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiants,3,0,Wankhede Stadium,A Nand Kishore
2017,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Maharashtra Cricket Association Stadium,AY Dandekar
2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,7,M Chinnaswamy Stadium,AK Chaudhary
2017,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Eden Gardens,NJ Llong
